,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
8901,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8902,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8903,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8904,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8905,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8906,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8907,Grateful Dead,"Sugar Magnolia - Live at the Olympia Theatre, Paris France 5/4/72; 2018 Remaster",3jS2YRUsl4F1m3ZBwzyyhi,29,0.426,0.676,4,-11.985,1,0.078,0.624,0.718,0.137,0.635,150.679,430067,4
8908,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8909,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8910,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8911,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8912,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
