,artist_name,followers,genre,popularity,ID
75,Janet Jackson,"{'href': None, 'total': 1943448}","['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",68,4qwGe91Bz9K2T8jXTZ815W
76,boy pablo,"{'href': None, 'total': 514660}","['bedroom pop', 'bergen indie', 'indie pop', 'norwegian indie']",68,7wbkl3zgDZEoZer357mVIw
77,ATEEZ,"{'href': None, 'total': 601755}","['k-pop', 'k-pop boy group']",72,68KmkJeZGfwe1OUaivBa2L
78,Jackson Browne,"{'href': None, 'total': 651744}","['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'traditional folk']",66,5lkiCO9UQ8B23dZ1o0UV4m
79,Toby Fox,"{'href': None, 'total': 280441}",['indie game soundtrack'],69,57DlMWmbVIf2ssJ8QBpBau
80,Flatbush Zombies,"{'href': None, 'total': 822141}","['escape room', 'hip hop', 'rap', 'underground hip hop']",66,1dqGS5sT6PE2wEvP1gROZC
81,Two Door Cinema Club,"{'href': None, 'total': 1831909}","['indie pop', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie', 'rock']",71,536BYVgOnRky0xjsPT96zl
82,Thunderstorm Sound Bank,"{'href': None, 'total': 8759}","['environmental', 'water']",66,6xQDyC92UEZQCySBNTdkyx
83,Adam Levine,"{'href': None, 'total': 793552}","['neo mellow', 'pop rock']",71,4bYPcJP5jwMhSivRcqie2n
84,Nio Garcia,"{'href': None, 'total': 1051376}","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",75,5hdhHgpxyniooUiQVaPxQ0
85,Ella Fitzgerald,"{'href': None, 'total': 1550612}","['adult standards', 'jazz blues', 'swing', 'vocal jazz']",70,5V0MlUE1Bft0mbLlND7FJz
86,Lindsey Stirling,"{'href': None, 'total': 1532973}","['bow pop', 'pop violin']",69,378dH6EszOLFShpRzAQkVM
87,Will Smith,"{'href': None, 'total': 646208}",['hip hop'],71,41qil2VaGbD194gaEcmmyx
88,Witt Lowry,"{'href': None, 'total': 377726}","['indie pop rap', 'pop rap']",67,5ghnxpW47ojtLHHyTLdxdY
89,Bill Withers,"{'href': None, 'total': 815504}","['classic soul', 'funk', 'motown', 'quiet storm', 'soul']",70,1ThoqLcyIYvZn7iWbj8fsj
90,Chris Janson,"{'href': None, 'total': 176589}","['contemporary country', 'country road', 'modern country rock']",64,60gmlHZmT16wiO9GiXKYK9
91,KALEO,"{'href': None, 'total': 917161}","['icelandic indie', 'icelandic rock', 'modern alternative rock', 'modern rock']",71,7jdFEYD2LTYjfwxOdlVjmc
92,Sigala,"{'href': None, 'total': 1088281}","['dance pop', 'edm', 'pop', 'tropical house']",76,1IueXOQyABrMOprrzwQJWN
